,raw_text
17438,(Simpson Home: Ext. Simpson House - night - establishing)
17439,Bart Simpson: Dad! We've been robbed!
17440,"Lisa Simpson: (SHAKING HIM) Wake up, Dad! Wake up! There was a burglar and he took my saxophone."
17441,Homer Simpson: Woo hoo!
17442,Bart Simpson: And our portable TV!
17443,Homer Simpson: (ANNOYED GRUNT)
17444,Marge Simpson: And my necklace.
17445,"Homer Simpson: Eh, that's no big loss."
17446,Marge Simpson: Homer! That necklace was a priceless Bouvier family heirloom.
17447,"Homer Simpson: (SNORTS) Oh, you've probably got a whole drawer full of 'em."
17448,"Marge Simpson: (UNCOMFORTABLE) Well... Yes, I do. But they're all heirlooms, too."
17449,Bart Simpson: The burglar even took my stamp collection.
17450,Lisa Simpson: (AMUSED) YOU had a stamp collection?
17451,Marge Simpson: (LAUGHS UPROARIOUSLY)
17452,Nelson Muntz: (OVER PHONE) Stamp collection. Haw haw!
17453,"Lisa Simpson: (MOANS) Bart's pain is funny, but mine isn't. That saxophone was my one creative outlet. It was the only way I could truly express myself."
17454,"Homer Simpson: Shhh, quiet Lisa."
17455,"Bart Simpson: Hey, the burglar left his calling card."
17456,"Marge Simpson: (READING) ""You have just been robbed by The Springfield Cat Burglar""... (MAKES A FACE) Cute."
17457,"Ned Flanders: Hidilly ho, neighboreenos."
17424,Homer Simpson: (ABSENTLY) Can't talk. Robbed. Go hell.
17458,Ned Flanders: You folks got robbed too? The burglar took my Shroud of Turin beach towels.
17459,Bart Simpson: Wow. It's a crime wave.
17460,(Skinner's Living Room: Int. Principal Skinner's living room - day)
17461,Seymour Skinner: Good Lord! My Stormin' Norman Commemorative Plates stolen... again.
17462,(Barney's Apartment: Int. Barney's apartment)
17463,Barney Gumble: Hey! I thought I had more stuff than this.
17464,(Simpson Home: Int. Simpson house - living room)
17465,"Lisa Simpson: We are insured, aren't we, Mom?"
17466,"Marge Simpson: Homer, tell your child what you bought when I sent you to town to get some insurance."
17467,"Homer Simpson: (BITTER) Curse you, Magic Beans."
17468,"Marge Simpson: (TIRED OF IT) Oh, stop blaming the beans."
17469,"Homer Simpson: (INTO PHONE) Hello, police? Are you sitting down? Good. I wish to report a robbery!"
17470,(Springfield Police Station: Int. police station)
17471,"Chief Wiggum: (INTO PHONE) A robbery, right. Thanks for the report."
17472,"Chief Wiggum: Another one, Lou. 723 Evergreen Terrace."
17473,"Chief Wiggum: Well, there doesn't seem to be any pattern, yet. But if I take this one and move it here, and move these over here... Hello... It almost looks like an arrow."
17474,"Lou: Hey look, Chief. It's pointing right at this police station."
17475,Chief Wiggum: (PANICKED) Let's get outta here!
17476,"Kent Brockman: When cat burglaries start, can mass murders be far behind? This reporter isn't saying that the burglar is an inhuman monster like the Wolfman, but he very well could be."
17477,"Kent Brockman: So, professor, would you say it's time for everyone to panic?"
